Total Nacional;Provincias;Edad simple;Sexo;Periodo;Total
Total Nacional;02 Albacete;0 años;Hombres;1 de enero de 2019;1.567
Total Nacional;02 Albacete;0 años;Mujeres;1 de enero de 2019;1.454
Total Nacional;02 Albacete;1 año;Hombres;1 de enero de 2019;1.683
Total Nacional;02 Albacete;1 año;Mujeres;1 de enero de 2019;1.538
Total Nacional;02 Albacete;2 años;Hombres;1 de enero de 2019;1.742
Total Nacional;02 Albacete;2 años;Mujeres;1 de enero de 2019;1.617
Total Nacional;02 Albacete;3 años;Hombres;1 de enero de 2019;1.839
Total Nacional;02 Albacete;3 años;Mujeres;1 de enero de 2019;1.672
Total Nacional;02 Albacete;4 años;Hombres;1 de enero de 2019;1.862
Total Nacional;02 Albacete;4 años;Mujeres;1 de enero de 2019;1.698
Total Nacional;02 Albacete;5 años;Hombres;1 de enero de 2019;1.899
Total Nacional;02 Albacete;5 años;Mujeres;1 de enero de 2019;1.660
Total Nacional;02 Albacete;6 años;Hombres;1 de enero de 2019;1.835
Total Nacional;02 Albacete;6 años;Mujeres;1 de enero de 2019;1.791
Total Nacional;02 Albacete;7 años;Hombres;1 de enero de 2019;2.026
Total Nacional;02 Albacete;7 años;Mujeres;1 de enero de 2019;1.820
Total Nacional;02 Albacete;8 años;Hombres;1 de enero de 2019;1.974
Total Nacional;02 Albacete;8 años;Mujeres;1 de enero de 2019;1.908
Total Nacional;02 Albacete;9 años;Hombres;1 de enero de 2019;2.050
Total Nacional;02 Albacete;9 años;Mujeres;1 de enero de 2019;2.000
Total Nacional;02 Albacete;10 años;Hombres;1 de enero de 2019;2.119
Total Nacional;02 Albacete;10 años;Mujeres;1 de enero de 2019;1.967
Total Nacional;02 Albacete;11 años;Hombres;1 de enero de 2019;2.117
Total Nacional;02 Albacete;11 años;Mujeres;1 de enero de 2019;1.929
Total Nacional;02 Albacete;12 años;Hombres;1 de enero de 2019;2.104
Total Nacional;02 Albacete;12 años;Mujeres;1 de enero de 2019;1.968
Total Nacional;02 Albacete;13 años;Hombres;1 de enero de 2019;1.991
Total Nacional;02 Albacete;13 años;Mujeres;1 de enero de 2019;1.878
Total Nacional;02 Albacete;14 años;Hombres;1 de enero de 2019;2.057
Total Nacional;02 Albacete;14 años;Mujeres;1 de enero de 2019;1.824
Total Nacional;02 Albacete;15 años;Hombres;1 de enero de 2019;2.050
Total Nacional;02 Albacete;15 años;Mujeres;1 de enero de 2019;1.994
Total Nacional;02 Albacete;16 años;Hombres;1 de enero de 2019;2.001
Total Nacional;02 Albacete;16 años;Mujeres;1 de enero de 2019;1.976
Total Nacional;02 Albacete;17 años;Hombres;1 de enero de 2019;2.020
Total Nacional;02 Albacete;17 años;Mujeres;1 de enero de 2019;1.956
Total Nacional;02 Albacete;18 años;Hombres;1 de enero de 2019;2.123
Total Nacional;02 Albacete;18 años;Mujeres;1 de enero de 2019;2.049
Total Nacional;02 Albacete;19 años;Hombres;1 de enero de 2019;2.145
Total Nacional;02 Albacete;19 años;Mujeres;1 de enero de 2019;1.988
Total Nacional;02 Albacete;20 años;Hombres;1 de enero de 2019;2.181
Total Nacional;02 Albacete;20 años;Mujeres;1 de enero de 2019;1.991
Total Nacional;02 Albacete;21 años;Hombres;1 de enero de 2019;2.134
Total Nacional;02 Albacete;21 años;Mujeres;1 de enero de 2019;2.004
Total Nacional;02 Albacete;22 años;Hombres;1 de enero de 2019;2.174
Total Nacional;02 Albacete;22 años;Mujeres;1 de enero de 2019;2.024
Total Nacional;02 Albacete;23 años;Hombres;1 de enero de 2019;2.274
Total Nacional;02 Albacete;23 años;Mujeres;1 de enero de 2019;1.966
Total Nacional;02 Albacete;24 años;Hombres;1 de enero de 2019;2.219
Total Nacional;02 Albacete;24 años;Mujeres;1 de enero de 2019;2.037
Total Nacional;02 Albacete;25 años;Hombres;1 de enero de 2019;2.169
Total Nacional;02 Albacete;25 años;Mujeres;1 de enero de 2019;1.985
Total Nacional;02 Albacete;26 años;Hombres;1 de enero de 2019;2.235
Total Nacional;02 Albacete;26 años;Mujeres;1 de enero de 2019;2.189
Total Nacional;02 Albacete;27 años;Hombres;1 de enero de 2019;2.296
Total Nacional;02 Albacete;27 años;Mujeres;1 de enero de 2019;2.153
Total Nacional;02 Albacete;28 años;Hombres;1 de enero de 2019;2.414
Total Nacional;02 Albacete;28 años;Mujeres;1 de enero de 2019;2.219
Total Nacional;02 Albacete;29 años;Hombres;1 de enero de 2019;2.326
Total Nacional;02 Albacete;29 años;Mujeres;1 de enero de 2019;2.164
Total Nacional;02 Albacete;30 años;Hombres;1 de enero de 2019;2.243
Total Nacional;02 Albacete;30 años;Mujeres;1 de enero de 2019;2.118
Total Nacional;02 Albacete;31 años;Hombres;1 de enero de 2019;2.370
Total Nacional;02 Albacete;31 años;Mujeres;1 de enero de 2019;2.286
Total Nacional;02 Albacete;32 años;Hombres;1 de enero de 2019;2.420
Total Nacional;02 Albacete;32 años;Mujeres;1 de enero de 2019;2.243
Total Nacional;02 Albacete;33 años;Hombres;1 de enero de 2019;2.377
Total Nacional;02 Albacete;33 años;Mujeres;1 de enero de 2019;2.257
Total Nacional;02 Albacete;34 años;Hombres;1 de enero de 2019;2.496
Total Nacional;02 Albacete;34 años;Mujeres;1 de enero de 2019;2.354
Total Nacional;02 Albacete;35 años;Hombres;1 de enero de 2019;2.578
Total Nacional;02 Albacete;35 años;Mujeres;1 de enero de 2019;2.359
